# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	22208	22912	-	ACT37716.1			conserved hypothetical protein			ECB_00022	705	234	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	23346	23621	+					insA-1		ECB_00023	276		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	23346	23621	+	ACT37717.1			IS1 protein InsA	insA-1		ECB_00023	276	91	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	23540	24043	+					insB-1		ECB_00024	504		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	23540	24043	+	ACT37718.1			IS1 protein InsB	insB-1		ECB_00024	504	167	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	24054	24404	-							ECB_00025	351		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	24054	24404	-	ACT37719.1			conserved hypothetical protein			ECB_00025	351	116	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	24701	24865	-							ECB_00026	165		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	24701	24865	-	ACT37720.1			hypothetical protein			ECB_00026	165	54	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	24887	25150	-					rpsT		ECB_00027	264		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	24887	25150	-	ACT37721.1			30S ribosomal protein S20	rpsT		ECB_00027	264	87	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	25253	25471	+					yaaY		ECB_00028	219		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	25253	25471	+	ACT37722.1			hypothetical protein	yaaY		ECB_00028	219	72	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	25479	26420	+					ribF		ECB_00029	942		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	25479	26420	+	ACT37723.1			putative regulator	ribF		ECB_00029	942	313	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	26463	29279	+					ileS		ECB_00030	2817		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	26463	29279	+	ACT37724.1			isoleucyl-tRNA synthetase	ileS		ECB_00030	2817	938	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	29279	29773	+					lspA		ECB_00031	495		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	29279	29773	+	ACT37725.1			signal peptidase II	lspA		ECB_00031	495	164	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	29898	30347	+					fkpB		ECB_00032	450		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	29898	30347	+	ACT37726.1			FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	fkpB		ECB_00032	450	149	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	30349	31299	+					ispH		ECB_00033	951		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	30349	31299	+	ACT37727.1			4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH		ECB_00033	951	316	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	31365	32279	+					rihC		ECB_00034	915		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	31365	32279	+	ACT37728.1			ribonucleoside hydrolase 3	rihC		ECB_00034	915	304	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	32446	33267	+					dapB		ECB_00035	822		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	32446	33267	+	ACT37729.1			dihydrodipicolinate reductase	dapB		ECB_00035	822	273	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	33722	34870	+					carA		ECB_00036	1149		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	33722	34870	+	ACT37730.1			carbamoyl-phosphate synthase small subunit	carA		ECB_00036	1149	382	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	34888	38109	+					carB		ECB_00037	3222		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	34888	38109	+	ACT37731.1			carbamoyl-phosphate synthase large subunit	carB		ECB_00037	3222	1073	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	38371	38766	+					caiF		ECB_00038	396		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	38371	38766	+	ACT37732.1			DNA-binding transcriptional activator	caiF		ECB_00038	396	131	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	38975	39565	-					caiE		ECB_00039	591		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	38975	39565	-	ACT37733.1			predicted acyl transferase	caiE		ECB_00039	591	196	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	39571	40464	-					caiD		ECB_00040	894		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	39571	40464	-	ACT37734.1			carnitinyl-CoA dehydratase	caiD		ECB_00040	894	297	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	40465	42033	-					caiC		ECB_00041	1569		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	40465	42033	-	ACT37735.1			crotonobetaine/carnitine-CoA ligase	caiC		ECB_00041	1569	522	
gene	pseudogene	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	42092	43308	-					caiB		ECB_00042	1217		pseudo
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	43437	44579	-					caiA		ECB_00043	1143		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	43437	44579	-	ACT37736.1			crotonobetaine reductase subunit II, FAD-binding	caiA		ECB_00043	1143	380	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	44610	46124	-					caiT		ECB_00044	1515		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	44610	46124	-	ACT37737.1			L-carnitine/gamma-butyrobetaine antiporter	caiT		ECB_00044	1515	504	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	46598	47368	+					fixA		ECB_00045	771		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	46598	47368	+	ACT37738.1			predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain protein	fixA		ECB_00045	771	256	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	47383	48324	+					fixB		ECB_00046	942		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	47383	48324	+	ACT37739.1			predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein	fixB		ECB_00046	942	313	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	48375	49661	+					fixC		ECB_00047	1287		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	48375	49661	+	ACT37740.1			predicted oxidoreductase with FAD/NAD(P)-binding domain	fixC		ECB_00047	1287	428	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	49658	49945	+					fixX		ECB_00048	288		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	49658	49945	+	ACT37741.1			predicted 4Fe-4S ferredoxin-type protein	fixX		ECB_00048	288	95	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	50002	51333	+					yaaU		ECB_00049	1332		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	50002	51333	+	ACT37742.1			predicted transporter	yaaU		ECB_00049	1332	443	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	51441	51971	+					yabF		ECB_00050	531		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	51441	51971	+	ACT37743.1			glutathione-regulated potassium-efflux system ancillary protein	yabF		ECB_00050	531	176	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	51964	53826	+					kefC		ECB_00051	1863		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	51964	53826	+	ACT37744.1			glutathione-regulated potassium-efflux system protein	kefC		ECB_00051	1863	620	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	54018	54497	+					folA		ECB_00052	480		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	54018	54497	+	ACT37745.1			dihydrofolate reductase	folA		ECB_00052	480	159	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	54575	55417	-					apaH		ECB_00053	843		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	54575	55417	-	ACT37746.1			diadenosinetetraphosphatase	apaH		ECB_00053	843	280	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	55424	55801	-					apaG		ECB_00054	378		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	55424	55801	-	ACT37747.1			hypothetical protein	apaG		ECB_00054	378	125	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	55804	56625	-					ksgA		ECB_00055	822		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	55804	56625	-	ACT37748.1			dimethyladenosine transferase	ksgA		ECB_00055	822	273	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	56622	57611	-					pdxA		ECB_00056	990		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	56622	57611	-	ACT37749.1			4-hydroxythreonine-4-phosphate dehydrogenase	pdxA		ECB_00056	990	329	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	57611	58897	-					surA		ECB_00057	1287		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	57611	58897	-	ACT37750.1			peptidyl-prolyl cis-trans isomerase (PPIase)	surA		ECB_00057	1287	428	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	58950	61304	-					imp		ECB_00058	2355		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	58950	61304	-	ACT37751.1			organic solvent tolerance protein precursor	imp		ECB_00058	2355	784	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	61559	62374	+					djlA		ECB_00059	816		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	61559	62374	+	ACT37752.1			Dna-J like membrane chaperone protein	djlA		ECB_00059	816	271	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	62491	63150	-					rluA		ECB_00060	660		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	62491	63150	-	ACT37753.1			pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	rluA		ECB_00060	660	219	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	63162	66068	-					hepA		ECB_00061	2907		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	63162	66068	-	ACT37754.1			ATP-dependent helicase HepA	hepA		ECB_00061	2907	968	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	66233	68584	-					polB		ECB_00062	2352		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	66233	68584	-	ACT37755.1			DNA polymerase II	polB		ECB_00062	2352	783	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	68659	69354	-					araD		ECB_00063	696		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	68659	69354	-	ACT37756.1			L-ribulose-5-phosphate 4-epimerase	araD		ECB_00063	696	231	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	69639	71141	-					araA		ECB_00064	1503		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	69639	71141	-	ACT37757.1			L-arabinose isomerase	araA		ECB_00064	1503	500	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	71152	72852	-					araB		ECB_00065	1701		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	71152	72852	-	ACT37758.1			ribulokinase	araB		ECB_00065	1701	566	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	73191	74069	+					araC		ECB_00066	879		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	73191	74069	+	ACT37759.1			DNA-binding transcriptional dual regulator	araC		ECB_00066	879	292	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	74155	74919	+					yabI		ECB_00067	765		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	74155	74919	+	ACT37760.1			conserved inner membrane protein	yabI		ECB_00067	765	254	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	75033	75731	-					yabJ		ECB_00068	699		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	75033	75731	-	ACT37761.1			thiamin transporter subunit	yabJ		ECB_00068	699	232	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	75715	77325	-					thiP		ECB_00069	1611		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	75715	77325	-	ACT37762.1			thiamin ABC transporter membrane protein	thiP		ECB_00069	1611	536	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	77301	78284	-					tbpA		ECB_00070	984		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	77301	78284	-	ACT37763.1			thiamin transporter subunit	tbpA		ECB_00070	984	327	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	78448	80103	-					yabN		ECB_00071	1656		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	78448	80103	-	ACT37764.1			DNA-binding transcriptional regulator	yabN		ECB_00071	1656	551	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	80425	81603	+					setA		ECB_00072	1179		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	80425	81603	+	ACT37765.1			broad specificity sugar efflux system	setA		ECB_00072	1179	392	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	81652	82257	-					leuD		ECB_00073	606		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	81652	82257	-	ACT37766.1			isopropylmalate isomerase small subunit	leuD		ECB_00073	606	201	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	82268	83668	-					leuC		ECB_00074	1401		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	82268	83668	-	ACT37767.1			isopropylmalate isomerase large subunit	leuC		ECB_00074	1401	466	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	83671	84762	-					leuB		ECB_00075	1092		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	83671	84762	-	ACT37768.1			3-isopropylmalate dehydrogenase	leuB		ECB_00075	1092	363	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	84762	86333	-					leuA		ECB_00076	1572		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	84762	86333	-	ACT37769.1			2-isopropylmalate synthase	leuA		ECB_00076	1572	523	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	86426	86512	-					leuL		ECB_00077	87		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	86426	86512	-	ACT37770.1			leu operon leader peptide	leuL		ECB_00077	87	28	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	87172	88116	+					leuO		ECB_00078	945		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	87172	88116	+	ACT37771.1			leucine transcriptional activator	leuO		ECB_00078	945	314	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	88434	90158	+					ilvI		ECB_00079	1725		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	88434	90158	+	ACT37772.1			acetolactate synthase III large subunit	ilvI		ECB_00079	1725	574	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	90161	90652	+					ilvH		ECB_00080	492		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	90161	90652	+	ACT37773.1			acetolactate synthase small subunit	ilvH		ECB_00080	492	163	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	90832	91836	+					fruR		ECB_00081	1005		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	90832	91836	+	ACT37774.1			DNA-binding transcriptional dual regulator	fruR		ECB_00081	1005	334	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	92438	92896	+					yabB		ECB_00082	459		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	92438	92896	+	ACT37775.1			hypothetical protein	yabB		ECB_00082	459	152	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	92898	93839	+					mraW		ECB_00083	942		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	92898	93839	+	ACT37776.1			S-adenosyl-methyltransferase	mraW		ECB_00083	942	313	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	93836	94201	+					ftsL		ECB_00084	366		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	93836	94201	+	ACT37777.1			membrane bound cell division protein at septum containing leucine zipper motif	ftsL		ECB_00084	366	121	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	94217	95983	+					ftsI		ECB_00085	1767		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	94217	95983	+	ACT37778.1			transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	ftsI		ECB_00085	1767	588	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	95970	97457	+					murE		ECB_00086	1488		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	95970	97457	+	ACT37779.1			UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase	murE		ECB_00086	1488	495	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	97454	98812	+					murF		ECB_00087	1359		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	97454	98812	+	ACT37780.1			UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	murF		ECB_00087	1359	452	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	98806	99888	+					mraY		ECB_00088	1083		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	98806	99888	+	ACT37781.1			phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY		ECB_00088	1083	360	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	99891	101207	+					murD		ECB_00089	1317		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	99891	101207	+	ACT37782.1			UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase	murD		ECB_00089	1317	438	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	101207	102451	+					ftsW		ECB_00090	1245		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	101207	102451	+	ACT37783.1			integral membrane protein involved in stabilizing FstZ ring during cell division	ftsW		ECB_00090	1245	414	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	102448	103515	+					murG		ECB_00091	1068		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	102448	103515	+	ACT37784.1			N-acetylglucosaminyl transferase	murG		ECB_00091	1068	355	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	103569	105044	+					murC		ECB_00092	1476		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	103569	105044	+	ACT37785.1			UDP-N-acetylmuramate-L-alanine ligase	murC		ECB_00092	1476	491	
